scenario,latency_ms
aggressive,18
aggressive,16
aggressive,12
aggressive,13
aggressive,14
aggressive,19
aggressive,9
aggressive,8
aggressive,19
aggressive,18
aggressive,17
aggressive,17
aggressive,16
aggressive,16
aggressive,17
aggressive,16
aggressive,14
aggressive,16
aggressive,16
aggressive,16
aggressive,15
aggressive,16
aggressive,16
aggressive,18
aggressive,19
aggressive,15
aggressive,13
aggressive,14
aggressive,18
aggressive,15
aggressive,15
aggressive,13
aggressive,15
aggressive,17
aggressive,18
aggressive,17
aggressive,15
aggressive,16
aggressive,18
aggressive,15
aggressive,17
aggressive,16
aggressive,15
aggressive,11
aggressive,16
aggressive,18
aggressive,11
aggressive,13
aggressive,15
aggressive,15
aggressive,13
aggressive,10
aggressive,14
aggressive,16
aggressive,16
aggressive,17
aggressive,18
aggressive,18
aggressive,16
aggressive,20
aggressive,10
aggressive,14
aggressive,12
aggressive,21
aggressive,11
aggressive,14
aggressive,11
aggressive,9
aggressive,11
aggressive,13
aggressive,8
aggressive,9
aggressive,8
aggressive,11
aggressive,11
aggressive,13
aggressive,9
aggressive,8
aggressive,11
aggressive,11
aggressive,14
aggressive,14
aggressive,12
aggressive,12
aggressive,14
aggressive,14
aggressive,11
aggressive,11
aggressive,13
aggressive,12
aggressive,18
aggressive,17
aggressive,15
aggressive,13
aggressive,13
aggressive,10
aggressive,11
aggressive,8
aggressive,9
aggressive,14
aggressive,13
aggressive,11
aggressive,11
aggressive,15
aggressive,11
aggressive,14
aggressive,15
aggressive,13
aggressive,9
aggressive,17
aggressive,16
aggressive,14
aggressive,11
aggressive,10
aggressive,14
aggressive,12
aggressive,15
aggressive,17
aggressive,15
aggressive,11
aggressive,10
aggressive,13
aggressive,10
aggressive,12
aggressive,10
aggressive,16
aggressive,14
aggressive,16
aggressive,15
aggressive,17
aggressive,13
aggressive,14
aggressive,14
aggressive,17
aggressive,16
aggressive,14
aggressive,12
aggressive,15
aggressive,16
aggressive,16
aggressive,17
aggressive,15
aggressive,7
aggressive,15
aggressive,17
aggressive,14
aggressive,16
aggressive,15
aggressive,16
aggressive,14
aggressive,15
aggressive,16
aggressive,17
aggressive,12
aggressive,18
aggressive,13
aggressive,15
aggressive,14
aggressive,13
aggressive,18
aggressive,14
aggressive,13
aggressive,17
aggressive,19
aggressive,13
aggressive,17
aggressive,15
aggressive,15
aggressive,16
aggressive,15
aggressive,14
aggressive,16
aggressive,18
aggressive,17
aggressive,15
aggressive,16
aggressive,14
aggressive,13
aggressive,16
aggressive,11
aggressive,15
aggressive,14
aggressive,16
aggressive,16
aggressive,14
aggressive,12
aggressive,11
aggressive,8
aggressive,15
aggressive,15
aggressive,12
aggressive,14
aggressive,19
aggressive,13
aggressive,16
aggressive,16
aggressive,18
aggressive,12
aggressive,14
aggressive,17
aggressive,17
aggressive,18
aggressive,16
aggressive,16
aggressive,12
aggressive,14
aggressive,18
aggressive,15
aggressive,16
aggressive,16
aggressive,12
aggressive,17
aggressive,15
aggressive,13
aggressive,16
aggressive,15
aggressive,14
aggressive,18
aggressive,16
aggressive,14
aggressive,14
aggressive,17
aggressive,14
aggressive,14
aggressive,16
aggressive,17
aggressive,18
aggressive,14
aggressive,14
aggressive,18
aggressive,12
aggressive,8
aggressive,12
aggressive,16
aggressive,16
aggressive,14
aggressive,15
aggressive,16
aggressive,17
aggressive,17
aggressive,17
aggressive,16
aggressive,14
aggressive,17
aggressive,15
aggressive,12
aggressive,15
aggressive,15
aggressive,14
aggressive,16
aggressive,16
aggressive,11
aggressive,14
aggressive,14
aggressive,9
aggressive,23
aggressive,16
aggressive,16
aggressive,16
aggressive,16
aggressive,15
aggressive,14
aggressive,13
aggressive,18
aggressive,14
aggressive,14
aggressive,14
aggressive,17
aggressive,15
aggressive,19
aggressive,16
aggressive,15
aggressive,16
aggressive,15
aggressive,16
aggressive,15
aggressive,9
aggressive,8
aggressive,17
aggressive,18
aggressive,17
aggressive,13
aggressive,13
aggressive,14
aggressive,15
aggressive,13
aggressive,16
aggressive,10
aggressive,8
aggressive,16
aggressive,20
aggressive,18
aggressive,15
aggressive,17
aggressive,13
aggressive,16
aggressive,17
aggressive,16
aggressive,15
aggressive,12
aggressive,17
aggressive,16
aggressive,13
aggressive,14
aggressive,15
aggressive,17
aggressive,15
aggressive,15
aggressive,17
aggressive,18
aggressive,15
aggressive,16
aggressive,15
aggressive,14
aggressive,17
aggressive,15
aggressive,16
aggressive,15
aggressive,12
aggressive,15
aggressive,16
aggressive,10
aggressive,17
aggressive,16
aggressive,16
aggressive,16
aggressive,16
aggressive,15
aggressive,15
aggressive,17
aggressive,16
aggressive,16
aggressive,17
aggressive,16
aggressive,13
aggressive,16
aggressive,17
aggressive,16
aggressive,15
aggressive,10
aggressive,12
aggressive,10
aggressive,16
aggressive,9
aggressive,15
aggressive,14
aggressive,15
aggressive,14
aggressive,17
aggressive,13
aggressive,17
aggressive,16
aggressive,15
aggressive,11
aggressive,16
aggressive,16
aggressive,16
aggressive,14
aggressive,16
aggressive,17
aggressive,17
aggressive,17
aggressive,15
aggressive,14
aggressive,18
aggressive,8
aggressive,12
aggressive,13
aggressive,13
aggressive,15
aggressive,17
aggressive,19
aggressive,14
aggressive,13
aggressive,11
aggressive,12
aggressive,17
aggressive,16
aggressive,15
aggressive,16
aggressive,15
aggressive,17
aggressive,14
aggressive,16
aggressive,16
aggressive,12
aggressive,16
aggressive,17
aggressive,19
aggressive,7
aggressive,7
aggressive,8
aggressive,8
aggressive,8
aggressive,8
aggressive,12
aggressive,14
aggressive,14
aggressive,15
aggressive,13
aggressive,17
aggressive,16
aggressive,16
aggressive,15
aggressive,17
aggressive,15
aggressive,13
aggressive,12
aggressive,14
aggressive,13
aggressive,9
aggressive,11
aggressive,16
aggressive,17
aggressive,15
aggressive,14
aggressive,16
aggressive,16
aggressive,16
aggressive,14
aggressive,16
aggressive,13
aggressive,15
aggressive,17
aggressive,13
aggressive,17
aggressive,17
aggressive,15
aggressive,16
aggressive,15
aggressive,12
aggressive,14
aggressive,12
aggressive,10
aggressive,16
aggressive,18
aggressive,13
aggressive,16
aggressive,16
aggressive,17
aggressive,16
aggressive,13
aggressive,16
aggressive,14
aggressive,11
aggressive,14
aggressive,11
aggressive,12
aggressive,14
aggressive,11
aggressive,10
aggressive,11
aggressive,14
aggressive,7
aggressive,12
aggressive,7
aggressive,10
aggressive,15
aggressive,16
aggressive,15
aggressive,14
aggressive,13
aggressive,16
aggressive,18
aggressive,15
aggressive,17
aggressive,18
aggressive,17
aggressive,13
aggressive,14
aggressive,15
aggressive,14
aggressive,12
aggressive,12
aggressive,14
aggressive,12
aggressive,17
aggressive,15
aggressive,11
aggressive,14
aggressive,13
aggressive,15
aggressive,18
aggressive,14
aggressive,14
aggressive,14
aggressive,15
aggressive,15
aggressive,14
aggressive,15
aggressive,17
balanced,
balanced,18
balanced,15
balanced,13
balanced,17
balanced,16
balanced,12
balanced,17
balanced,13
balanced,14
balanced,15
balanced,17
balanced,14
balanced,14
balanced,15
balanced,17
balanced,15
balanced,13
balanced,12
balanced,9
balanced,13
balanced,16
balanced,14
balanced,15
balanced,12
balanced,13
balanced,17
balanced,15
balanced,19
balanced,13
balanced,13
balanced,13
balanced,16
balanced,14
balanced,16
balanced,17
balanced,14
balanced,14
balanced,13
balanced,12
balanced,17
balanced,16
balanced,12
balanced,13
balanced,14
balanced,9
balanced,20
balanced,16
balanced,12
balanced,17
balanced,16
balanced,12
balanced,16
balanced,14
balanced,10
balanced,12
balanced,15
balanced,14
balanced,15
balanced,16
balanced,16
balanced,14
balanced,12
balanced,11
balanced,12
balanced,14
balanced,19
balanced,18
balanced,19
balanced,14
balanced,14
balanced,15
balanced,14
balanced,10
balanced,11
balanced,13
balanced,13
balanced,12
balanced,13
balanced,13
balanced,13
balanced,14
balanced,11
balanced,13
balanced,14
balanced,12
balanced,16
balanced,18
balanced,13
balanced,16
balanced,12
balanced,13
balanced,13
balanced,16
balanced,12
balanced,12
balanced,13
balanced,12
balanced,14
balanced,8
balanced,14
balanced,10
balanced,15
balanced,12
balanced,14
balanced,18
balanced,15
balanced,14
balanced,14
balanced,12
balanced,9
balanced,15
balanced,13
balanced,17
balanced,12
balanced,15
balanced,15
balanced,18
balanced,14
balanced,12
balanced,13
balanced,15
balanced,15
balanced,16
balanced,14
balanced,15
balanced,12
balanced,13
balanced,16
balanced,13
balanced,13
balanced,16
balanced,15
balanced,13
balanced,16
balanced,8
balanced,13
balanced,16
balanced,14
balanced,14
balanced,7
balanced,11
balanced,19
balanced,14
balanced,14
balanced,16
balanced,12
balanced,14
balanced,10
balanced,15
balanced,12
balanced,13
balanced,14
balanced,12
balanced,14
balanced,13
balanced,12
balanced,17
balanced,15
balanced,17
balanced,15
balanced,14
balanced,12
balanced,17
balanced,13
balanced,15
balanced,13
balanced,16
balanced,14
balanced,14
balanced,16
balanced,15
balanced,12
balanced,10
balanced,14
balanced,16
balanced,12
balanced,19
balanced,14
balanced,15
balanced,10
balanced,19
balanced,14
balanced,13
balanced,16
balanced,14
balanced,15
balanced,15
balanced,16
balanced,14
balanced,13
balanced,18
balanced,17
balanced,14
balanced,16
balanced,13
balanced,11
balanced,13
balanced,11
balanced,12
balanced,10
balanced,10
balanced,9
balanced,11
balanced,13
balanced,12
balanced,11
balanced,9
balanced,13
balanced,7
balanced,8
balanced,10
balanced,12
balanced,12
balanced,11
balanced,12
balanced,12
balanced,12
balanced,17
balanced,16
balanced,13
balanced,10
balanced,12
balanced,15
balanced,11
balanced,14
balanced,13
balanced,13
balanced,15
balanced,11
balanced,14
balanced,15
balanced,12
balanced,13
balanced,9
balanced,8
balanced,15
balanced,16
balanced,14
balanced,18
balanced,10
balanced,14
balanced,13
balanced,12
balanced,12
balanced,17
balanced,12
balanced,12
balanced,18
balanced,15
balanced,12
balanced,12
balanced,10
balanced,11
balanced,12
balanced,11
balanced,13
balanced,12
balanced,14
balanced,13
balanced,14
balanced,16
balanced,11
balanced,13
balanced,16
balanced,16
balanced,16
balanced,17
balanced,13
balanced,15
balanced,16
balanced,12
balanced,17
balanced,14
balanced,16
balanced,15
balanced,17
balanced,14
balanced,13
balanced,10
balanced,16
balanced,15
balanced,18
balanced,16
balanced,15
balanced,14
balanced,14
balanced,16
balanced,12
balanced,14
balanced,15
balanced,16
balanced,13
balanced,16
balanced,22
balanced,15
balanced,15
balanced,16
balanced,14
balanced,15
balanced,16
balanced,14
balanced,10
balanced,14
balanced,17
balanced,15
balanced,13
balanced,14
balanced,16
balanced,14
balanced,15
balanced,14
balanced,14
balanced,16
balanced,17
balanced,16
balanced,15
balanced,15
balanced,17
balanced,15
balanced,15
balanced,14
balanced,15
balanced,14
balanced,7
balanced,12
balanced,18
balanced,17
balanced,16
balanced,15
balanced,14
balanced,15
balanced,16
balanced,13
balanced,16
balanced,13
balanced,12
balanced,14
balanced,6
balanced,16
balanced,15
balanced,16
balanced,15
balanced,18
balanced,17
balanced,17
balanced,16
balanced,15
balanced,16
balanced,15
balanced,14
balanced,17
balanced,13
balanced,17
balanced,12
balanced,16
balanced,16
balanced,10
balanced,11
balanced,14
balanced,16
balanced,17
balanced,15
balanced,15
balanced,12
balanced,16
balanced,14
balanced,10
balanced,15
balanced,11
balanced,15
balanced,17
balanced,15
balanced,14
balanced,13
balanced,17
balanced,14
balanced,14
balanced,14
balanced,14
balanced,13
balanced,15
balanced,15
balanced,15
balanced,18
balanced,17
balanced,17
balanced,14
balanced,14
balanced,16
balanced,15
balanced,15
balanced,15
balanced,13
balanced,17
balanced,15
balanced,16
balanced,14
balanced,16
balanced,14
balanced,16
balanced,16
balanced,19
balanced,13
balanced,14
moderate,
moderate,19
moderate,13
moderate,15
moderate,16
moderate,19
moderate,14
moderate,17
moderate,14
moderate,16
moderate,16
moderate,10
moderate,15
moderate,13
moderate,14
moderate,14
moderate,10
moderate,14
moderate,16
moderate,16
moderate,16
moderate,17
moderate,17
moderate,16
moderate,17
moderate,16
moderate,17
moderate,15
moderate,15
moderate,14
moderate,16
moderate,15
moderate,16
moderate,13
moderate,15
moderate,13
moderate,17
moderate,15
moderate,17
moderate,17
moderate,15
moderate,14
moderate,14
moderate,17
moderate,18
moderate,13
moderate,17
moderate,18
moderate,15
moderate,17
moderate,17
moderate,14
moderate,13
moderate,15
moderate,15
moderate,15
moderate,15
moderate,17
moderate,16
moderate,13
moderate,15
moderate,14
moderate,16
moderate,12
moderate,19
moderate,13
moderate,15
moderate,14
moderate,14
moderate,13
moderate,14
moderate,15
moderate,14
moderate,16
moderate,16
moderate,16
moderate,15
moderate,14
moderate,16
moderate,14
moderate,13
moderate,16
moderate,17
moderate,15
moderate,15
moderate,13
moderate,11
moderate,16
moderate,15
moderate,15
moderate,15
moderate,16
moderate,16
moderate,16
moderate,12
moderate,16
moderate,18
moderate,11
moderate,16
moderate,12
moderate,13
moderate,15
moderate,15
moderate,16
moderate,11
moderate,16
moderate,15
moderate,14
moderate,17
moderate,15
moderate,17
moderate,16
moderate,14
moderate,16
moderate,18
moderate,16
moderate,14
moderate,20
moderate,16
moderate,11
moderate,13
moderate,16
moderate,14
moderate,15
moderate,15
moderate,16
moderate,15
moderate,17
moderate,13
moderate,18
moderate,15
moderate,15
moderate,13
moderate,16
moderate,17
moderate,14
moderate,14
moderate,14
moderate,12
moderate,15
moderate,14
moderate,8
moderate,13
moderate,13
moderate,18
moderate,14
moderate,16
moderate,16
moderate,15
moderate,18
moderate,15
moderate,17
moderate,13
moderate,16
moderate,16
moderate,15
moderate,16
moderate,16
moderate,16
moderate,15
moderate,14
moderate,13
moderate,24
moderate,13
moderate,10
moderate,13
moderate,10
moderate,13
moderate,13
moderate,14
moderate,16
moderate,13
moderate,14
moderate,18
moderate,12
moderate,14
moderate,11
moderate,13
moderate,15
moderate,16
moderate,13
moderate,14
moderate,16
moderate,17
moderate,16
moderate,15
moderate,9
moderate,14
moderate,15
moderate,14
moderate,13
moderate,16
moderate,10
moderate,10
moderate,14
moderate,15
moderate,18
moderate,17
moderate,14
moderate,15
moderate,16
moderate,14
moderate,15
moderate,15
moderate,12
moderate,12
moderate,14
moderate,18
moderate,14
moderate,10
moderate,15
moderate,17
moderate,18
moderate,15
moderate,13
moderate,18
moderate,9
moderate,12
moderate,14
moderate,12
moderate,13
moderate,17
moderate,7
moderate,11
moderate,14
moderate,15
moderate,18
moderate,16
moderate,13
moderate,8
moderate,11
moderate,9
moderate,13
moderate,15
moderate,16
moderate,14
